collection_id,time,type,scheduling_class,priority,collection_type
384984661001,1534066022162,6,2,118,0
385002186340,1529585768609,0,2,117,0
385002186340,1529605571736,2,2,117,0
385002186340,1529614939221,3,2,117,0
385002186340,1529997137223,6,2,117,0
385015964568,1531741846998,0,2,25,0
385015964568,1531741847002,2,2,25,0
385015964568,1531741930351,3,2,25,0
385015964568,1531785686767,6,2,25,0
385033599921,1535714569151,0,2,117,0
385033599921,1535741175405,2,2,117,0
385033599921,1535790738863,3,2,117,0
385033599921,1536339292452,6,2,117,0
385035627140,1536820461001,0,2,115,0
385035627140,1536829033011,1,2,115,0
385035627140,1537747853168,2,2,115,0
385035627140,1537751856606,3,2,115,0
385035627140,1539390183342,6,2,115,0
385056889940,1539828247062,0,2,115,0
385056889940,1539831945142,2,2,115,0
385056889940,1539835855098,3,2,115,0
385056889940,1540212660786,6,2,115,0
385056890844,1539833885599,0,2,115,0
385056890844,1539892290473,2,2,115,0
385056890844,1539892777932,3,2,115,0
385056890844,1540530033659,6,2,115,0
385059812206,1540730360328,0,2,115,0
385059812206,1540744938912,2,2,115,0
385059812206,1540745823750,3,2,115,0
385059812206,1540928928133,6,2,115,0
385059864517,1540908976320,0,2,115,0
385059864517,1540928249890,2,2,115,0
385059864517,1540931442284,3,2,115,0
385059864517,1555859299070,6,2,115,0
385060240344,1541253049528,0,2,118,0
385060240344,1541253049534,2,2,118,0
385060240344,1541253115231,3,2,118,0
385060240344,1557847283927,6,2,118,0
385101322475,1548309001626,1,2,115,0
385101322475,1548326185447,2,2,115,0
385101322475,1548329095239,3,2,115,0
385101322475,1548854848476,6,2,115,0
385115670699,1550203182265,1,2,115,0
385115670699,1550223010238,2,2,115,0
385115670699,1550227172615,3,2,115,0
385115670699,1550443459170,6,2,115,0
385128591030,1552039910010,1,2,115,0
385128591030,1552058233925,2,2,115,0
385128591030,1552059844475,3,2,115,0
385128591030,1552198731604,6,2,115,0
385153162939,1556088996454,0,2,115,0
385153162939,1556103018358,2,2,115,0
385153162939,1556106573433,3,2,115,0
385153162939,1564316595443,6,2,115,0
385156097032,1556686456531,0,2,117,0
385156097032,1556709458709,2,2,117,0
385156097032,1556720628290,3,2,117,0
385156097032,1563891184279,6,2,117,0
385166664975,1558266917066,1,2,115,0
